Title,Developer,Publisher,First released,JP,EU,NA
Angel Wish: Kimi no Egao ni Chu!,Pionesoft,Pionesoft,2005-02-24JP,✔,,
Angel's Feather,KID,KID,2004-03-11JP,✔,,
Angel's Feather: Kuro no Zanei,Blue Impact,GN Software,2005-06-30JP,✔,,
Angelic Concert,Success Corporation,Success Corporation,2003-03-13JP,✔,,
Angelique Etoile,Ruby Party,Koei,2004-09-16JP,✔,,
Angelique Trois,Ruby Party,Koei,2000-11-22JP,✔,,
Angelique Trois: Aizouhen,Ruby Party,Koei,2001-07-26JP,✔,,
Animal Soccer World,The Code Monkeys,Phoenix Games,2005PAL,,✔,
Animaniacs: The Great Edgar Hunt,Warthog,Ignition Entertainment,2005-06-24PAL,,✔,
The Ant Bully,Artificial Mind and Movement,Midway Games,2006-07-24NA,,✔,✔
Antz Extreme Racing,Supersonic Software,Empire Interactive,2002-07-26EU,,✔,✔
Anubis II,Data Design Interactive,Metro 3D,2005-07-14PAL,,✔,
Anya Nisasayaku,Idea Factory,Idea Factory,2006-02-09JP,✔,,
Aoi no Mamade...,Idea Factory,Idea Factory,2004-10-28JP,✔,,
Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2~,Kogado Studio,Nippon Ichi Software,2007-02-22JP,✔,,
Aoi Umi no Tristia: Nanoca Flanka Hatsumei Koubouki,Kogado Studio,Nippon Ichi Software,2005-08-11JP,✔,,
Aoishiro,Success Corporation,Success Corporation,2008-05-15JP,✔,,
"Ape Escape 2
•Saru! Get You! 2JP, AS",Sony Computer Entertainment,"Sony Computer Entertainment, UbisoftNA",2002-07-18JP,"✔JP, AS",✔,✔
"Ape Escape 3
•Saru! Get You! 3JP, AS",Sony Computer Entertainment,Sony Computer Entertainment,2005-07-12AS,"✔JP, AS, KO",✔,✔
"Ape Escape: Pumped & Primed
•Gacha Mecha Stadium Saru BattleJP",Japan Studio,"Sony Computer EntertainmentJP, UbisoftNA",2004-07-01JP,✔,,✔
Apocripha/0,GN Software,GN Software,2004-10-28JP,✔,,
Appleseed EX,DreamFactory,Sega,2007-02-15JP,✔,,
"Aqua Aqua
•AquaquaJP
•Aqua Aqua: Wetrix 2EU",Zed Two Limited,"ImagineerJP, 3DOEU, NA",2000-11-02JP,✔,✔,✔
Aqua Kids,Cinepix,Yuke's,2004-08-12JP,✔,,
Aqua Teen Hunger Force Zombie Ninja Pro-Am,Creat Studio,Midway Games,2007-11-05NA,,✔,✔
"Ar tonelico: Melody of Elemia
•Ar tonelico: Sekai no Owari de Utai Tsudzukeru ShoujoJP",Gust,"BanprestoJP, NIS AmericaNA, 505 GamesEU",2006-01-26JP,✔,✔,✔
"Ar tonelico II: Melody of Metafalica
•Ar tonelico II: Sekai ni Hibiku Shoujo Tachi no MetafalicaJP",Gust,"BanprestoJP, NIS AmericaNA, EU",2007-10-25JP,✔,✔,✔
